SAMPLE NUMBER:   5
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  DAO     	  DAO'		  RV     	  RV'		
 42.85   	  66.12		 23.32   	 432.35		
 43.11   	 122.07		 25.05   	 417.09		
 43.60   	 193.29		 26.71   	 401.83		
 44.37   	 249.24		 28.32   	 391.66		
 45.37   	 289.93		 29.89   	 381.48		
 46.53   	 315.36		 31.41   	 366.22		
 47.79   	 310.27		 32.88   	 350.97		
 49.03   	 310.27		 34.28   	 325.53		
 50.27   	 289.93		 35.58   	 300.10		
 51.43   	 259.41		 36.79   	 284.84		
 52.47   	 239.06		 37.92   	 259.41		
 53.43   	 198.37		 38.96   	 244.15		
 54.22   	 162.77		 39.94   	 223.80		
 54.87   	 127.16		 40.83   	 203.46		
 55.38   	 106.82		 41.65   	 193.29		
 55.81   	  86.47		 42.42   	 178.03		
 56.15   	  76.30		 43.13   	 157.68		
 56.46   	  71.21		 43.76   	 137.33		
 56.74   	  66.12		 44.31   	 132.25		
 57.01   	  76.30		 44.84   	 116.99		
 57.31   	  81.38		 45.31   	 101.73		
 57.64   	 122.07		 45.72   	 106.82		
 58.13   	 142.42		 46.14   	  91.56		
 58.70   	 157.68		 46.51   	  86.47		
 59.33   	 167.85		 46.86   	  76.30		
 60.00   	 167.85		 47.16   	  71.21		
 60.67   	 162.77		 47.45   	  61.04		
 61.32   	 157.68		 47.69   	  55.95		
 61.95   	 142.42		 47.91   	  55.95		
 62.52   	 137.33		 48.14   	  45.78		
 63.07   	 132.25		 48.32   	  45.78		
