SAMPLE NUMBER:   21
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  RFA     	  RFA'		
-42.42   	-76.60   	  9.52   	-183.11		 72.82   	-183.11		
-41.20   	-74.77   	  8.79   	-167.85		 72.09   	-172.94		
-38.76   	-71.72   	  8.12   	-152.59		 71.39   	-152.59		
-35.40   	-68.66   	  7.51   	-132.25		 70.78   	-142.42		
-31.43   	-65.00   	  6.98   	-116.99		 70.21   	-127.16		
-25.63   	-61.65   	  6.51   	-101.73		 69.70   	-116.99		
-17.40   	-59.20   	  6.10   	 -86.47		 69.24   	-106.82		
 -6.10   	-57.68   	  5.76   	 -76.30		 68.81   	-101.73		
 10.07   	-57.68   	  5.45   	 -61.04		 68.40   	 -86.47		
 31.13   	-56.76   	  5.21   	 -45.78		 68.06   	 -91.56		
 56.15   	-51.88   	  5.03   	 -40.69		 67.69   	 -81.38		
 82.70   	-39.06   	  4.86   	 -25.43		 67.36   	 -81.38		
108.34   	-17.09   	  4.76   	 -25.43		 67.04   	 -81.38		
128.78   	  8.54   	  4.66   	 -10.17		 66.71   	 -76.30		
139.16   	 26.25   	  4.62   	  -5.09		 66.41   	 -86.47		
135.80   	 26.55   	  4.60(D)	   0.00		 66.06   	 -81.38		
117.49   	  7.63   	  4.60   	  10.17		 65.74   	 -81.38		
 86.98   	-23.50   	  4.64   	  15.26		 65.41   	 -86.47		
 50.96   	-55.54   	  4.70   	  15.26		 65.07   	 -86.47		
 17.70   	-79.35   	  4.76   	  25.43		 64.72   	 -91.56		
 -8.24   	-93.38   	  4.86   	  20.35		 64.35   	 -86.47		
-26.55   	-101.01   	  4.94   	  30.52		 64.01   	 -91.56		
-41.50   	-105.90   	  5.07   	  25.43		 63.64   	 -86.47		
-55.85   	-109.25   	  5.17   	  30.52		 63.30   	 -91.56		
-70.50   	-111.39   	  5.29   	  35.61		 62.93   	 -86.47		
-82.09   	-111.39   	  5.43   	  30.52		 62.58   	 -86.47		
-87.59   	-110.17   	  5.55   	  35.61		 62.24   	 -86.47		
