SAMPLE NUMBER:   5
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  II     	  III     	  DAO     	  DAO'		  RV     	  RV'		
-51.88   	-18.31   	 87.14   	-208.54		 32.68   	-162.77		
-64.70   	-28.69   	 86.31   	-274.67		 32.02   	-152.59		
-68.05   	-30.21   	 85.21   	-335.71		 31.41   	-162.77		
-68.05   	-28.08   	 83.87   	-350.97		 30.76   	-183.11		
-74.77   	-33.26   	 82.46   	-320.45		 30.03   	-193.29		
-90.64   	-48.52   	 81.18   	-269.58		 29.26   	-193.29		
-108.95   	-66.53   	 80.10   	-208.54		 28.48   	-198.37		
-119.02   	-76.60   	 79.27   	-147.51		 27.69   	-208.54		
-115.66   	-72.63   	 78.68   	 -91.56		 26.86   	-218.72		
-106.20   	-61.65   	 78.31   	 -50.86		 25.98   	-239.06		
-99.79   	-53.71   	 78.11   	 -30.52		 25.03   	-269.58		
-101.32   	-54.63   	 77.99   	 -30.52		 23.95   	-310.27		
-107.73   	-62.26   	 77.86   	 -61.04		 22.71   	-350.97		
-112.30   	-69.89   	 77.62   	-116.99		 21.30   	-401.83		
-109.25   	-72.02   	 77.15   	-198.37		 19.69   	-442.52		
-98.88   	-68.97   	 76.36   	-279.75		 17.92   	-488.30		
-85.75   	-66.22   	 75.24   	-361.14		 15.97   	-523.90		
-70.19   	-64.39   	 73.79   	-432.35		 13.88   	-559.51		
-44.56   	-56.15   	 72.06   	-467.95		 11.64   	-615.46		
 -2.75   	-34.18   	 70.19   	-1017.29		  9.18   	-1342.82		
116.58   	 45.78   	 66.12   	-467.95		  3.80   	-778.23		
166.93   	 79.96   	 64.25   	-356.05		  0.69   	-798.57		
196.53   	 98.57   	 62.83   	-193.29		 -2.50   	-671.41		
205.69   	103.76   	 62.05   	 -30.52		 -5.19   	-493.39		
200.20   	101.93   	 61.93   	 106.82		 -7.16   	-361.14		
184.63   	 95.21   	 62.36   	 188.20		 -8.61   	-244.15		
157.47   	 79.35   	 63.11   	 203.46		 -9.58   	-111.90		
115.97   	 49.44   	 63.93   	 162.77		-10.03   	  -5.09		
 58.90   	  6.71   	 64.58   	  81.38		-10.05   	 127.16		
 -8.54   	-40.28   	 64.90   	 -20.35		 -9.54   	 249.24		
-73.85   	-79.96   	 64.82   	-127.16		 -8.55   	 366.22		
-125.73   	-105.59   	 64.31   	-208.54		 -7.08   	 462.87		
-155.64   	-116.88   	 63.48   	-264.50		 -5.23   	 534.08		
-164.49   	-117.80   	 62.42   	-279.75		 -3.09   	 549.34		
-162.35   	-116.27   	 61.30   	-264.50		 -0.90   	 528.99		
-159.00   	-115.66   	 60.24   	-213.63		  1.22   	 503.56		
-158.08   	-115.36   	 59.39   	-147.51		  3.23   	 493.39		
-157.47   	-113.22   	 58.80   	 -61.04		  5.21   	 462.87		
-153.20   	-113.53   	 58.56   	  15.26		  7.06   	 401.83		
-136.72   	-129.39   	 58.62   	  86.47		  8.67   	 325.53		
-83.62   	-174.56   	 58.96   	 122.07		  9.97   	 264.50		
 49.44   	-245.06   	 59.45   	 127.16		 11.03   	 213.63		
280.15   	-315.25   	 59.96   	 106.82		 11.88   	 142.42		
529.48   	-350.65   	 60.39   	 106.82		 12.45   	 203.46		
498.66   	-186.46   	 60.81   	 -15.26		 13.27   	  91.56		
 78.74   	 -5.80   	 60.75   	 -61.04		 13.63   	  71.21		
-462.65   	146.79   	 60.51   	 -91.56		 13.92   	  71.21		
-871.28   	194.40   	 60.14   	-116.99		 14.20   	  86.47		
-972.29(R)	108.64   	 59.67   	-116.99		 14.55   	  86.47		
-776.67   	-58.90   	 59.21   	-101.73		 14.89   	  76.30		
-434.57   	-199.89   	 58.80   	 -86.47		 15.20   	  71.21		
-132.75   	-235.60   	 58.45   	 -61.04		 15.48   	  76.30		
  5.19   	-177.92   	 58.21   	 -30.52		 15.79   	  96.64		
-20.14   	-100.71   	 58.09   	   5.09		 16.17   	 132.25		
-113.53   	-66.53   	 58.11   	  30.52		 16.70   	 172.94		
-172.42   	-80.87   	 58.23   	  61.04		 17.40   	 269.58		
-157.17   	-106.20   	 58.47   	  61.04		 18.47   	 406.92		
-93.69   	-109.25   	 58.72   	  55.95		 20.10   	 544.25		
-36.62   	-89.42   	 58.94   	  40.69		 22.28   	 615.46		
-21.06   	-69.58   	 59.10   	  25.43		 24.74   	 671.41		
-39.37   	-63.78   	 59.21   	   5.09		 27.43   	 752.79		
-56.76   	-65.31   	 59.23   	 -15.26		 30.44   	 808.75		
-50.96   	-62.87   	 59.17   	 -35.61		 33.67   	 813.83		
-27.47   	-54.02   	 59.02   	 -55.95		 36.93   	 818.92		
 -6.10   	-47.00   	 58.80   	 -61.04		 40.20   	 793.49		
  3.05   	-46.39   	 58.56   	 -66.12		 43.38   	 747.71		
  5.19   	-47.91   	 58.29   	 -55.95		 46.37   	 686.67		
 10.99   	-44.86   	 58.07   	 -30.52		 49.11   	 630.72		
 24.41   	-34.18   	 57.94   	  10.17		 51.64   	1032.55		
 63.17   	 -4.27   	 57.99   	  30.52		 55.77   	 356.05		
 79.96   	  5.19   	 58.11   	  45.78		 57.19   	 228.89		
 92.47   	  7.93   	 58.29   	  61.04		 58.11   	  96.64		
104.06   	  8.54   	 58.53   	 116.99		 58.49   	 -15.26		
118.71   	 10.68   	 59.00   	 213.63		 58.43   	 -96.64		
137.33   	 16.48   	 59.86   	 406.92		 58.05   	-172.94		
157.78   	 25.33   	 61.49   	 696.84		 57.35   	-223.80		
176.09   	 35.71   	 64.27   	1057.98		 56.46   	-254.32		
189.82   	 47.00   	 68.50   	1403.86		 55.44   	-264.50		
197.14   	 57.07   	 74.12   	1627.66		 54.38   	-264.50		
200.20   	 65.92   	 80.63   	1673.44		 53.33   	-239.06		
201.72   	 72.63   	 87.32   	1546.28		 52.37   	-193.29		
204.47   	 79.65   	 93.51   	1312.30		 51.60   	-132.25		
207.82   	 88.20   	 98.76   	1017.29		 51.07   	 -71.21		
207.52   	 96.44   	102.83   	 717.19		 50.78   	 -15.26		
200.20   	101.62   	105.70   	 412.00		 50.72   	  50.86		
184.02   	 99.79   	107.34   	 111.90		 50.93   	 101.73		
160.22   	 88.81   	107.79   	-162.77		 51.33   	 142.42		
133.06   	 72.33   	107.14   	-356.05		 51.90   	 178.03		
108.34   	 57.68   	105.72   	-442.52		 52.61   	 198.37		
 86.67   	 47.91   	103.95   	-406.92		 53.41   	 213.63		
 65.31   	 40.89   	102.32   	-269.58		 54.26   	 213.63		
 43.33   	 32.35   	101.24   	-111.90		 55.12   	 193.29		
 22.89   	 22.28   	100.79   	  25.43		 55.89   	 167.85		
  6.41   	 12.21   	100.89   	 208.54		 56.56   	 223.80		
-26.86   	 -7.32   	101.73   	  30.52		 57.46   	  55.95		
-54.63   	-24.72   	101.85   	 -61.04		 57.68   	   5.09		
-88.20   	-48.83   	101.61   	-172.94		 57.70   	 -55.95		
-114.14   	-68.97   	100.92   	-284.84		 57.48   	 -91.56		
-121.15   	-74.77   	 99.78   	-366.22		 57.11   	-132.25		
-111.39   	-65.00   	 98.31   	-427.26		 56.58   	-172.94		
-99.49   	-50.96   	 96.60   	-442.52		 55.89   	-213.63		
-97.96   	-44.86   	 94.83   	-412.00		 55.04   	-228.89		
-108.34   	-49.74   	 93.18   	-340.79		 54.12   	-228.89		
-122.38   	-60.42   	 91.82   	-249.24		 53.20   	-218.72		
-130.31   	-68.05   	 90.82   	-142.42		 52.33   	-193.29		
-130.00   	-69.58   	 90.25   	 -45.78		 51.56   	-178.03		
-126.65   	-67.44   	 90.07   	  25.43		 50.84   	-172.94		
-127.26   	-67.14   	 90.17   	  50.86		 50.15   	-172.94		
-134.89   	-71.41   	 90.38   	  50.86		 49.46   	-188.20		
-145.57   	-78.43   	 90.58   	  20.35		 48.71   	-223.80		
-153.50   	-84.23   	 90.66   	 -35.61		 47.81   	-244.15		
-153.50   	-85.14   	 90.52   	-101.73		 46.84   	-279.75		
-144.65   	-79.96   	 90.11   	-172.94		 45.72   	-335.71		
-131.53   	-71.41   	 89.42   	-239.06		 44.37   	-381.48		
-120.85   	-63.48   	 88.46   	-289.93		 42.85   	-412.00		
-117.49   	-60.42   	 87.30   	-335.71		 41.20   	-473.04		
